Study_Hours,Attendance,Previous_Score,Assignment_Score,Internal_Assessment,Quiz_Score,Sleep_Hours,Previous_GPA,Backlogs,Internet_Usage,Extracurricular,Participation,Final_Score
37,62,60,69,52,98,8,3.0155156763771376,0,Medium,No,High,68.70186535839134
9,96,65,98,62,64,9,2.276743189441113,3,Low,Yes,Medium,71.64660467910441
32,89,89,62,97,80,7,3.9654790818207717,0,High,No,High,85.41696379109038
11,97,84,87,89,93,9,2.4999457817376594,0,High,No,High,91.3682199810072
13,93,60,98,69,49,8,2.146728134919205,0,High,No,Low,75.08407365163995
12,71,92,95,76,61,6,3.3262924979504174,0,Low,No,Low,79.2220127668689
16,78,57,98,64,58,5,3.190732740313745,0,Low,No,Low,73.92218782379344
38,96,76,57,87,40,8,2.8302913079854912,2,Medium,Yes,Medium,71.2747613421854
37,76,84,92,66,46,6,2.844384467761356,0,Medium,No,High,75.72708010100469
27,69,71,69,90,43,9,3.5701278420928624,2,Medium,No,Medium,62.0864595150329
28,71,75,82,53,40,9,2.3914252801992983,0,Medium,Yes,Medium,63.9290036842513
39,75,56,75,96,54,8,3.6405066378897795,0,Medium,No,Low,69.80863125310742
26,83,74,88,87,79,7,3.297494227790036,2,Low,No,High,75.89649911573842
31,78,88,70,98,51,9,2.8379395475590488,0,Low,Yes,High,74.91562173327925
39,67,99,98,86,61,7,2.916057233167737,3,High,No,Low,75.59126860127401
5,90,50,91,93,61,7,2.513294414372192,0,High,Yes,High,73.36003485334
39,80,60,92,75,89,7,3.5042286653939496,2,High,No,Low,73.38985914762196
18,76,91,90,78,86,4,3.0257494846105355,0,High,Yes,Medium,87.91142610203167
7,82,94,58,55,56,6,2.641709085499687,0,Low,Yes,Medium,73.8184415486937
5,96,92,73,95,68,6,3.1921002315219003,0,Low,No,Low,85.08719093905718
9,75,65,86,61,85,9,3.9914689041026463,0,Low,Yes,Medium,74.3598991153456
30,65,43,98,60,53,9,2.8705245593131075,0,Medium,Yes,Medium,63.03113517117732
18,67,73,90,93,89,7,3.841382801557239,0,Medium,No,Low,82.07909041439187
31,84,91,66,60,59,4,2.690033679849132,0,High,No,Medium,75.07011577283228
13,77,87,73,47,89,7,2.1094654138499718,0,Medium,Yes,High,78.57239550202422
19,84,99,70,88,87,4,2.408484212736858,1,Low,No,Medium,86.39890360045497
19,71,57,88,55,72,7,2.8373902866553684,0,High,Yes,Low,68.11540000727715
30,74,79,90,98,94,5,2.439269857189138,0,High,Yes,High,85.06155128746819
17,85,74,88,94,98,5,2.000454076436511,0,Medium,No,High,87.43949695798086
36,85,80,62,70,82,8,3.8300030754950543,0,High,No,Medium,74.77305136378592
36,91,68,60,81,54,7,3.6877588224618583,0,Medium,Yes,High,67.83677434171321
8,69,91,95,49,51,9,3.4845844629738942,0,Medium,No,Low,72.07540401663202
34,75,68,68,71,79,6,2.3356291912920573,2,High,No,High,65.90725104982099
27,66,77,60,98,93,8,2.2407271524199723,1,Medium,Yes,Medium,76.26930459755451
19,76,81,62,73,59,9,2.135209498944766,0,Medium,Yes,Medium,70.85440229078026
33,82,60,95,48,69,5,3.448058377545842,0,Medium,Yes,High,71.35903200562245
17,85,81,94,56,77,7,3.8576159213757704,0,Medium,Yes,Low,79.05940785823786
36,80,52,50,50,42,8,2.861071641826074,0,High,Yes,Low,54.42528526803207
11,81,88,89,71,67,7,2.2382813439920963,0,Low,Yes,Medium,79.04907265097769
26,66,80,93,49,95,5,3.024785641464213,0,Low,No,Medium,77.21620874916863
32,73,56,68,61,65,8,2.6976638149172603,0,Medium,Yes,Low,63.54967252844209
6,74,95,61,96,69,5,2.7496498486999954,0,Medium,No,High,81.07533004636365
10,66,48,57,56,52,4,3.2426612483114146,0,Medium,No,High,55.77539521402343
32,68,80,57,43,52,5,3.4374362265244045,2,Low,Yes,High,58.855705238083175
32,67,40,94,87,41,7,2.2212071977463217,0,Medium,No,High,60.387822309879645
24,82,41,61,91,76,6,2.0711804616129528,1,High,Yes,Low,66.09115893515656
34,88,99,97,86,88,5,3.9886606053714297,3,High,No,Medium,86.62991132192397
15,77,87,82,64,77,9,2.4654566978311037,0,High,Yes,Medium,79.20928537978779
32,90,68,94,98,41,6,2.107661049816918,0,Low,Yes,High,81.25099013162213
29,89,72,75,60,75,4,2.37975065819184,0,Medium,Yes,Low,76.46644425319191
37,98,49,88,76,93,8,2.077915692696928,3,Medium,Yes,Low,72.14289839763346
5,94,89,77,77,65,8,2.7836217892343433,3,Medium,No,High,76.19538842525836
31,77,97,54,88,50,6,3.6048035689026485,0,Low,No,High,75.9767089023317
17,98,99,57,40,47,8,2.682488899515441,0,Low,No,High,74.23022899544371
7,76,79,74,64,83,5,2.888366813756733,1,Low,No,Medium,74.56381345171326
10,73,60,76,90,79,6,3.3511735471348776,0,Low,No,High,76.57280351156828
12,90,67,95,75,82,7,3.0177881401397606,1,High,Yes,Medium,83.59653216552562
31,83,50,72,56,61,5,3.7228913720426484,2,Low,Yes,Low,60.130521610807094
13,94,94,79,80,59,5,3.732071350091513,0,Low,Yes,Low,79.34344785591273
37,93,73,94,63,47,5,2.0198213909823073,0,Low,Yes,Medium,73.89651105341656
28,62,47,96,41,68,7,3.556092612966398,0,Medium,Yes,Medium,65.67299376374353
19,96,98,72,79,79,4,2.921467200483348,0,Medium,No,Medium,88.13730525651148
36,99,61,98,54,65,9,3.977681082607326,0,Medium,Yes,Medium,76.40209297448999
36,85,47,96,71,69,8,2.9664641517508703,1,High,Yes,High,68.96632417719047
28,82,88,69,78,56,6,3.973791890776595,2,High,No,Low,70.32195588154804
16,98,54,67,98,59,4,3.509138722411473,2,Low,No,High,72.105579509491
6,74,56,67,45,91,6,2.497209769226613,0,Medium,Yes,Medium,63.75357949705183
7,63,99,51,40,94,8,3.076789958573915,2,High,Yes,High,70.05862363307655
21,88,62,53,86,55,7,3.9842712789571655,1,Medium,No,High,63.34859646049171
6,81,63,79,62,85,5,3.715061215503847,0,High,Yes,Low,72.51930263034343
6,84,84,82,97,82,5,2.194733787582442,0,High,Yes,High,87.23591426090593
32,72,58,85,78,46,7,3.4127439936199924,0,Low,Yes,Low,66.90061165506641
27,77,44,67,96,55,4,2.691159171741626,2,Low,No,Medium,59.91310024926795
36,92,71,86,56,84,4,2.0139645237606962,0,High,Yes,High,77.92127253669737
37,75,83,68,73,98,6,2.806961938053999,1,Low,Yes,Medium,74.47799421513015
5,61,40,96,98,86,7,2.4695088434499426,0,High,No,Low,67.95170618590798
23,94,62,77,80,95,4,3.6377385410409433,1,High,No,Medium,78.47847296538785
6,93,76,89,68,87,7,2.674661217691531,0,Medium,No,Medium,81.6055801487644
30,89,47,69,48,66,8,3.655047387907634,0,Low,Yes,Low,64.21296952116292
36,72,52,98,52,92,5,2.0011958776695904,0,Low,No,Medium,73.43636603430141
10,72,47,82,45,62,5,2.6156383000522383,0,Low,Yes,Medium,63.34728521799093
36,77,96,61,45,63,5,2.4823304286155237,1,Medium,No,Medium,67.35798343084731
8,91,62,64,59,48,7,2.4671347221372217,0,Medium,Yes,High,64.25434142349219
15,91,82,90,91,74,7,2.1363732395309256,0,Medium,No,Medium,86.62517061408761
21,94,40,88,92,90,6,2.3742485408210037,0,Low,Yes,Low,76.8060033438073
28,98,84,51,42,59,5,3.1110991397712398,0,Low,Yes,High,74.64887516839258
9,88,90,78,56,76,6,2.582722145675489,0,Low,No,High,78.18477293353385
38,88,63,90,88,81,5,2.834789564658296,0,Medium,No,Low,82.1863368029082
10,75,74,59,51,56,6,2.7537337606943773,2,Medium,Yes,Medium,61.79454922007708
26,69,63,51,87,86,6,3.7518098499997894,0,High,No,High,65.56952826667307
15,89,56,60,86,70,8,3.8105979980210307,1,Medium,Yes,High,66.90436952654682
20,84,44,62,84,94,6,2.9859139433117203,3,High,No,High,63.625056024646646
37,98,59,59,94,96,7,2.660311900631209,0,Low,No,Medium,74.19126658340747
13,79,60,63,40,47,6,2.2136014080047275,0,Medium,Yes,High,55.3021879900567
10,64,79,67,56,54,5,3.90680575876419,0,Low,No,Low,62.877514842726704
20,60,97,58,42,70,6,2.120453889800595,3,Low,No,Medium,64.01826731016868
33,89,70,88,65,92,4,2.5953005551365607,2,Low,Yes,Low,74.98066548253313
7,62,85,77,54,69,9,2.5961324023400083,0,Low,Yes,Low,70.51008860537276
24,73,75,52,75,85,5,2.64080257228043,1,Medium,No,High,68.32875632966855
23,89,50,69,71,59,4,2.3285736865448188,0,Low,Yes,High,63.25175517668412
30,63,91,55,71,99,5,3.5663228618473943,3,High,No,High,69.4871936343198
7,77,54,76,43,78,7,2.2449957239319787,3,Medium,No,Low,55.30920390385633
23,96,58,51,57,92,9,3.2698133183063254,0,Low,Yes,Medium,71.52528227871782
24,84,46,78,88,94,9,2.247692053411635,0,Medium,Yes,High,76.88465944135443
36,60,90,87,58,51,7,2.1410712751859133,0,High,Yes,High,68.09787257322166
11,74,67,52,82,88,9,3.8188590073717528,0,Low,Yes,Low,69.86174068135182
37,68,90,65,91,56,7,2.3802575326374114,1,High,Yes,Medium,72.84197713873041
22,74,82,79,74,81,4,3.6425003091194084,0,Low,Yes,Low,78.10103098676595
5,83,97,89,79,69,8,3.089261742214272,0,High,No,High,87.70306084874879
15,63,44,51,53,68,5,2.155713039217539,0,Low,No,Low,53.21757843561215
32,71,44,66,97,58,7,3.910896382876135,3,Medium,Yes,High,57.67349707453742
29,96,69,90,72,85,5,2.493922333983785,0,Low,No,Medium,87.40810992760278
27,96,93,61,53,50,4,3.719290690705213,0,Medium,No,Low,74.5274141847894
35,65,71,84,73,73,8,2.337620011569128,0,Low,No,High,76.53247972059881
34,98,47,92,94,89,4,3.7078857642837058,3,Low,No,High,74.55397531477766
39,83,49,50,43,46,9,2.026457625810588,1,High,Yes,High,51.542582013848296
11,70,77,94,63,83,5,3.0235609131389616,0,High,No,High,76.35853202564914
20,72,86,64,98,97,8,3.5388851588431134,0,High,No,Low,82.23545481000059
30,93,71,75,68,73,9,3.8695910349855667,0,Low,Yes,High,73.79705375050689
6,84,87,86,58,98,8,3.818404272412974,0,Low,Yes,Low,81.7722680672086
5,66,67,70,45,59,9,3.63924973909529,0,Low,Yes,High,62.05387879794844
16,63,56,98,96,89,4,3.776382699322608,2,Medium,Yes,Low,73.33668708385446
9,67,70,80,72,77,7,2.398439371674153,0,Medium,No,Low,76.4019944234821
36,79,47,74,88,63,5,2.5683685914234573,1,Low,Yes,High,64.38009114640349
13,88,79,72,79,49,6,2.577937049842117,0,High,No,High,75.82303609275621
39,69,64,73,58,71,6,2.754107862003398,1,High,No,High,61.6942043068359
23,93,48,87,92,91,4,2.7866413407703776,1,High,Yes,High,77.97057728177464
20,85,41,77,40,54,5,3.089110649309351,0,Low,Yes,Medium,55.35663485014609
7,62,54,70,44,76,5,2.3197595267328825,0,High,Yes,High,62.19677294420287
24,65,89,92,66,59,4,3.3824933275719786,0,Low,Yes,High,76.6881500934364
28,64,42,67,55,42,5,2.335133078609013,0,Medium,Yes,High,53.10869411452042
37,64,88,85,45,76,7,2.620616964209095,0,High,Yes,Low,73.74947056416235
28,82,75,84,79,96,4,3.006690261212308,0,Medium,No,High,79.34749475121579
15,68,43,94,52,79,7,3.5928811230469546,3,High,No,Low,56.45345898026238
12,94,53,58,87,47,5,3.4789384664774543,0,Low,No,Low,68.07304031207796
24,79,80,87,74,79,4,3.2910687128210445,1,Low,No,Low,78.17387356036276
39,94,80,79,58,83,5,2.3115465211603405,0,Low,Yes,Low,79.13488652963747
29,77,64,93,51,95,4,3.0940906912311554,1,Low,Yes,Medium,73.9867959012721
39,76,97,83,55,62,5,2.174893003599771,0,High,No,High,78.65262056644251
29,83,94,81,98,79,7,2.7547263535933015,2,Medium,No,Low,81.96413690012024
33,62,89,52,82,50,7,2.827033060579918,0,Low,No,High,74.22199245168515
22,91,49,52,49,85,5,2.0796228788915077,0,High,Yes,Low,64.88151275700622
22,94,60,77,64,47,4,2.547976198939944,0,Medium,Yes,Medium,69.10413714671911
6,97,75,93,59,68,6,3.9112989345329785,0,Low,Yes,Low,78.52277739557213
39,72,51,64,70,69,7,3.907265215659379,0,Medium,No,High,65.25551937838839
20,84,66,90,43,95,7,2.7046541085050784,0,Low,No,High,73.72486426054782
37,68,79,72,83,99,9,2.086200217896648,0,Medium,Yes,Medium,77.25645051806146
8,63,41,89,62,49,6,2.358189878656363,2,Medium,Yes,High,58.73665127148077
37,73,93,60,41,78,5,2.7844355868670805,0,Low,No,High,72.41135035214141
18,96,52,97,95,67,4,3.8955593959384593,0,High,No,Low,76.97330162656978
25,93,92,81,61,88,9,2.28239812707437,1,Medium,Yes,High,82.76137139607937
24,70,71,85,90,75,5,3.5270316873364242,0,Low,No,Low,78.75037310769675
12,62,70,82,96,52,8,2.217365078749384,0,Medium,Yes,Medium,73.24250890791038
11,87,55,73,76,71,7,3.9625151547825537,0,Medium,Yes,High,72.49852452617291
7,88,71,88,47,75,8,2.76323299821827,3,High,No,Low,66.30088819452105
21,68,71,83,46,76,7,3.550469077798112,2,Medium,No,High,67.6982983233497
37,62,99,77,53,65,7,2.6851821656222636,2,Medium,No,Low,70.8418824478977
16,84,73,86,95,61,8,3.255337754317617,0,Low,Yes,Medium,79.47820153340777
26,93,50,56,94,43,8,2.3840321694800735,1,Low,No,Low,65.76898898728956
26,71,49,53,42,70,5,2.292042038593925,0,High,No,High,57.705451346542574
34,68,54,86,89,57,9,3.8761282791362626,0,Medium,Yes,Low,69.60210496190936
12,74,56,50,55,77,9,3.8352945558088667,0,Medium,Yes,High,57.43200663370609
31,99,79,50,94,63,8,3.7749378804257647,0,Medium,No,Medium,76.95899628923942
31,84,57,96,58,95,5,3.250866900333187,0,High,Yes,Low,74.480649224859
38,64,94,69,90,62,9,3.6165364224325565,0,Medium,Yes,High,79.02209060879473
25,70,48,68,57,61,5,2.1380738738227496,0,Low,Yes,High,61.68191637407132
34,93,64,78,91,41,5,2.6695780837813583,0,High,No,High,72.59593795443448
37,83,79,59,55,70,7,2.6274062495143125,1,Low,No,Low,67.51591704842262
32,74,98,67,47,94,9,3.2712906439052265,0,Low,Yes,Low,81.86260159103186
37,97,53,77,99,50,9,2.711915546941281,1,High,Yes,Low,69.84370486597261
9,67,99,84,72,67,7,2.2970135632873614,0,Low,Yes,Medium,78.3609249859275
23,64,97,92,88,85,8,3.1929341508270874,1,Medium,No,High,82.58465769396211
8,85,64,96,51,71,7,3.628767841338163,0,High,Yes,High,72.59000122377158
39,77,89,80,92,44,9,2.7642469889199464,0,Low,Yes,Medium,76.7772738941009
21,65,61,76,50,77,9,2.264537430196963,0,Medium,No,Medium,67.24078276655614
32,96,91,60,44,49,8,2.393376394625646,0,Medium,Yes,Low,68.05417310885197
34,72,69,98,66,79,7,2.474966610338768,1,Low,No,Low,72.68487917710894
33,87,59,98,51,85,4,2.5997951859890724,0,Medium,No,Low,75.00500510909026
10,64,60,87,56,63,4,3.2855901410126185,0,High,No,Low,66.47049244000458
39,72,83,54,45,74,8,3.2018909690754382,2,Low,Yes,Low,67.33366967504915
28,76,71,57,72,83,7,3.3921597231340783,0,Medium,Yes,Low,74.24047542552736
33,99,90,83,44,87,7,2.7250039690630263,0,Medium,No,Medium,79.84852568811091
35,91,85,97,96,99,5,3.6479953037599566,0,Low,Yes,Medium,88.53390411886083
39,88,88,61,67,62,9,2.4081753223115205,0,Low,No,Medium,75.59994252474199
37,62,95,87,53,56,6,2.938081495036308,0,Low,Yes,High,73.30362952707382
25,99,60,50,44,40,8,3.6018774430828606,0,Low,No,High,58.015947316033625
36,93,74,80,93,94,6,2.3603172954652383,3,High,No,Low,78.8822417949213
27,99,97,53,95,70,6,2.2197262274815657,0,Low,Yes,Medium,84.71139463666887
37,86,71,98,98,70,8,3.7673679353759795,0,High,Yes,High,81.62206312071164
7,72,69,94,72,81,7,2.6858593255183916,0,High,Yes,High,75.60183050992502
22,92,94,99,89,96,8,3.367740249818064,2,Low,Yes,Medium,88.6259169452247
29,65,78,54,87,94,6,2.050697208527877,1,High,No,High,71.52701751755744
35,83,88,79,80,81,9,3.3800937768188994,0,Low,No,High,84.03288819877947
7,78,51,73,58,92,9,2.6322026230939413,1,Low,Yes,Medium,63.84418827769683
28,75,80,52,61,95,9,2.1114817071748835,0,Medium,Yes,High,71.5186300130048
36,99,86,60,44,73,7,3.219625523096234,0,Low,No,Medium,74.351435713829
26,87,57,94,98,48,4,2.4816076321463463,0,Medium,Yes,High,75.18649518968972
27,92,60,53,41,61,8,2.77361448410376,0,High,Yes,Medium,62.851968985824946
6,72,52,75,69,52,9,2.161161624573027,0,Medium,Yes,High,67.23451568102158
31,84,60,76,86,64,8,2.2943265021898904,2,High,Yes,High,69.64425143521677
6,95,47,95,78,87,9,2.5959544709916873,0,Low,No,Medium,78.04186269407833
30,86,85,92,43,57,7,2.1795190011203145,3,High,No,High,69.56677397344093
21,97,79,76,72,90,4,3.8216525293726304,0,High,Yes,Medium,80.64026840860514
37,66,85,91,52,51,4,2.0120940863679566,0,Low,No,Medium,71.29357197030045
13,64,46,99,59,79,9,2.967720437728623,0,High,Yes,High,65.67933501957023
33,90,62,55,93,56,7,2.246494916265103,0,Low,Yes,Low,70.73446135110913
30,82,83,64,46,54,5,2.615358178955897,0,Medium,Yes,High,65.79743715275252
39,69,71,79,54,81,8,3.852119119636531,0,Low,No,Low,72.3350674391745
29,91,50,91,62,54,8,2.3233891065479737,0,Low,No,Low,68.56552082112795
28,89,61,86,53,54,6,3.931664639436665,0,High,No,High,70.81669646537807
17,98,61,86,62,94,7,2.4115887539788434,1,Medium,No,Low,75.05218362169146
11,90,82,91,58,78,6,3.483132216933659,0,Low,No,Medium,79.39726057031551
24,77,64,86,93,52,9,3.0933545297946234,0,Medium,Yes,Medium,72.73666256192311
5,95,61,84,68,56,6,3.7689574551935183,0,Medium,Yes,Low,71.83870149449235
12,61,67,72,95,71,4,3.1079865110062617,2,High,No,Medium,69.21269682214985
20,73,68,55,59,48,8,3.0691184383126173,1,Low,No,High,61.64360966611413
18,72,52,53,68,79,6,2.3909160007367998,0,High,No,Medium,66.46004616707083
16,88,57,67,63,59,4,2.3324587241033177,0,Low,Yes,Low,65.4090157109642
27,71,41,58,57,65,7,3.8329783022310284,0,Medium,No,High,49.70489880702481
19,98,68,98,49,66,6,2.655676397700068,3,Low,Yes,Medium,70.03115485393838
32,61,60,78,80,60,9,2.744164509925792,0,Low,Yes,High,67.26131585041672
38,91,54,62,96,57,9,3.519647316856777,0,Medium,No,Low,71.17906138210434
6,72,91,96,47,52,9,2.6776469648456147,0,Medium,Yes,Medium,76.35720854256743
36,86,66,66,65,55,8,3.9041248932780057,0,Low,Yes,High,67.20744493382061
27,76,89,94,68,48,6,3.4758555379976004,3,High,No,High,75.52832871483112
26,99,70,81,49,51,7,3.19485848514684,0,Low,Yes,Medium,69.93252839887555
29,90,54,97,56,83,6,3.7617903210895047,0,Medium,No,High,73.90071030287633
26,93,90,71,41,77,8,2.0992118166989657,0,High,Yes,High,75.34018031827839
26,83,62,53,45,58,4,2.5141253843784175,1,Medium,No,Low,59.28915352418034
10,94,63,54,97,99,8,2.93007266844182,1,Medium,No,Low,79.07801151754573
19,65,83,86,44,46,9,2.4539570789430423,0,High,Yes,Low,68.31814815220237
37,78,52,90,67,96,4,3.4878103746043037,0,Medium,No,Low,73.38040029581305
12,89,61,98,80,74,9,3.8384160621074503,2,Medium,Yes,Low,71.40807598324548
9,66,82,62,44,87,5,2.847540239861847,0,Medium,Yes,Low,69.276015628418
8,69,76,83,57,57,8,2.68426520022379,0,Medium,No,Medium,72.60097410006671
10,91,72,94,65,55,8,3.9231014642751325,0,Medium,Yes,Low,76.09952766868585
36,93,95,71,59,94,7,2.889704865655082,3,Medium,No,High,77.61441957217538
34,87,42,72,80,78,6,2.9780968008985664,0,Medium,Yes,Medium,70.31142915168658
39,74,93,52,88,43,4,2.703299744683811,1,Medium,Yes,High,70.12287177405886
20,89,58,91,66,98,4,3.8190969460242767,0,Medium,No,Low,80.58410726445425
17,96,62,83,88,64,7,3.1379109665637017,0,Low,Yes,Low,74.6307208092245
34,88,68,81,51,71,7,3.524349174363289,0,Low,Yes,High,73.85570794968206
23,81,69,94,46,79,6,3.6236134367017727,0,Medium,Yes,High,77.74265841539092
21,63,78,98,98,52,9,2.6836980838345164,0,Low,Yes,High,80.11571379490982
23,79,83,70,42,84,6,2.86738866264076,0,High,Yes,Medium,69.86545289672945
32,91,86,95,49,56,8,3.6969435488125293,0,Low,Yes,Low,77.47339351713823
30,95,64,93,73,88,9,2.7265107033516207,2,Medium,Yes,High,76.46609695068443
30,63,76,70,64,76,5,3.5878702669037024,3,Medium,Yes,Low,66.41991099341416
27,86,86,93,74,45,6,3.881984645148874,0,Low,No,High,76.78676376757713
13,76,47,60,55,58,7,3.246420746136014,0,Medium,Yes,Low,56.212126659214704
16,71,81,88,41,52,9,3.4832545749037775,0,High,Yes,Medium,66.83969713964001
5,81,97,53,99,96,6,3.6101946240822698,0,High,No,Low,83.49839949982437
